"A0","A1","A2","A3","A4","A5","ardno_usec_snce_lst_read","python_datetime"
"189","190","190","190","190","196","20000
","2019-09-30 11:36:12.652839"
"190","189","189","189","195","191","20000
","2019-09-30 11:36:12.673194"
"189","189","189","190","194","190","20000
","2019-09-30 11:36:12.693639"
"189","189","189","190","195","192","20000
","2019-09-30 11:36:12.710473"
"954","708","536","421","306","257","20000
","2019-09-30 11:36:12.731187"
"1021","899","764","637","450","354","20000
","2019-09-30 11:36:12.751493"
"948","906","844","758","570","449","20004
","2019-09-30 11:36:12.771982"
"188","431","563","617","546","472","20000
","2019-09-30 11:36:12.792302"
"189","268","366","449","476","446","20004
","2019-09-30 11:36:12.812775"
"189","210","258","323","391","397","20000
","2019-09-30 11:36:12.833060"
"189","193","211","248","315","344","20000
","2019-09-30 11:36:12.853450"
"189","189","194","210","265","298","20000
","2019-09-30 11:36:12.870215"
"189","188","189","196","234","268","20000
","2019-09-30 11:36:12.890826"
"188","189","189","191","224","244","20000
","2019-09-30 11:36:12.911393"
"189","190","190","190","209","234","20000
","2019-09-30 11:36:12.931862"
"189","190","191","190","204","224","20000
","2019-09-30 11:36:12.952126"
"189","190","190","189","199","213","20000
","2019-09-30 11:36:12.972433"
"189","189","190","190","197","208","20000
","2019-09-30 11:36:12.992877"
"189","190","190","191","197","207","20000
","2019-09-30 11:36:13.013156"
"188","190","191","192","197","206","20000
","2019-09-30 11:36:13.033539"
"189","190","190","191","196","204","20000
","2019-09-30 11:36:13.050452"
"189","189","190","191","194","201","20000
","2019-09-30 11:36:13.071125"
"189","189","189","190","193","203","20000
","2019-09-30 11:36:13.091399"
"189","190","190","190","193","200","20000
","2019-09-30 11:36:13.111839"
"189","190","191","192","195","201","20000
","2019-09-30 11:36:13.132165"
"189","190","190","192","195","199","20000
","2019-09-30 11:36:13.152563"
"189","189","189","190","199","198","20000
","2019-09-30 11:36:13.173067"
"189","189","189","190","192","197","20000
","2019-09-30 11:36:13.193326"
"189","189","189","190","199","198","20000
","2019-09-30 11:36:13.213685"
"189","189","190","191","194","202","20000
","2019-09-30 11:36:13.230651"
"189","189","190","190","193","201","20000
","2019-09-30 11:36:13.251103"
"189","189","189","189","197","196","20000
","2019-09-30 11:36:13.271606"
"189","189","189","189","191","198","20000
","2019-09-30 11:36:13.292058"
"189","190","190","190","191","196","20000
","2019-09-30 11:36:13.312372"
"189","189","191","191","194","197","20000
","2019-09-30 11:36:13.332751"
"189","190","190","191","193","197","20000
","2019-09-30 11:36:13.353140"
"189","189","189","191","197","195","20000
","2019-09-30 11:36:13.373511"
"189","189","189","189","191","197","20000
","2019-09-30 11:36:13.390413"
"189","189","189","189","192","199","20000
","2019-09-30 11:36:13.410885"
"188","190","190","190","193","200","20000
","2019-09-30 11:36:13.431362"
"189","190","191","191","193","196","20000
","2019-09-30 11:36:13.451830"
"189","190","190","189","191","194","20000
","2019-09-30 11:36:13.472208"
"189","189","189","189","190","193","20000
","2019-09-30 11:36:13.492603"
"189","189","189","190","197","194","20000
","2019-09-30 11:36:13.512985"
"189","189","190","191","192","199","20000
","2019-09-30 11:36:13.533350"
"189","190","190","191","192","195","20000
","2019-09-30 11:36:13.553656"
"190","189","189","189","191","196","20000
","2019-09-30 11:36:13.570607"
"189","189","189","189","190","196","20000
","2019-09-30 11:36:13.591095"
"189","190","190","189","191","194","20000
","2019-09-30 11:36:13.611626"
"189","190","191","191","192","195","20000
","2019-09-30 11:36:13.632018"
"189","190","190","191","192","195","20000
","2019-09-30 11:36:13.652372"
"189","189","189","190","196","193","20000
","2019-09-30 11:36:13.672798"
"189","189","189","189","195","192","20000
","2019-09-30 11:36:13.693139"
"189","189","190","190","191","193","20000
","2019-09-30 11:36:13.713717"
"189","190","190","191","192","198","20000
","2019-09-30 11:36:13.733912"
"189","189","190","190","192","195","20000
","2019-09-30 11:36:13.750845"
"189","189","189","190","196","193","20000
","2019-09-30 11:36:13.771355"
"189","189","189","190","195","192","20000
","2019-09-30 11:36:13.791824"
"188","190","189","190","197","194","20000
","2019-09-30 11:36:13.812203"
"189","189","190","191","192","195","20000
","2019-09-30 11:36:13.832529"
"189","189","189","191","198","194","20000
","2019-09-30 11:36:13.852984"
"188","189","189","190","190","196","20000
","2019-09-30 11:36:13.873429"
"189","189","188","188","189","195","20000
","2019-09-30 11:36:13.893825"
"189","189","189","189","196","193","20000
","2019-09-30 11:36:13.910775"
"188","190","190","191","192","198","20000
","2019-09-30 11:36:13.931067"
"189","190","190","191","191","194","20000
","2019-09-30 11:36:13.951533"
"188","189","190","190","190","192","20000
","2019-09-30 11:36:13.971999"
"189","189","189","189","195","191","20000
","2019-09-30 11:36:13.992344"
"189","189","190","191","191","193","20000
","2019-09-30 11:36:14.012738"
"189","189","190","191","192","198","20000
","2019-09-30 11:36:14.033089"
"189","190","190","190","192","197","20000
","2019-09-30 11:36:14.053483"
"189","190","189","190","190","195","20000
","2019-09-30 11:36:14.073930"
"189","190","189","189","190","192","20000
","2019-09-30 11:36:14.090991"
"189","189","190","190","190","193","20000
","2019-09-30 11:36:14.111458"
